ReqID,TestID,File/Spec,FirstCommit,FirstCommitDate,LastCommit,LastCommitDate,PR/Commit,Type,Result
FR-3,test_metric_names_api,backend/tests/test_metric_names_api.py,d7132f4d,2025-09-25T17:14:47-04:00,5916be48,2025-10-23T15:45:18-04:00,5916be48,Other,
FR-3,test_metrics_api,backend/tests/test_metrics_api.py,0de5f309,2025-09-18T12:29:21-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
FR-3,test_metrics_daily_validation,backend/tests/test_metrics_daily_validation.py,d7132f4d,2025-09-25T17:14:47-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
FR-3,test_metrics_service,backend/tests/test_metrics_service.py,0de5f309,2025-09-18T12:29:21-04:00,ff9801a0,2025-10-18T10:07:28-04:00,ff9801a0,Other,
FR-3,test_metrics_service_unit,backend/tests/test_metrics_service_unit.py,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,2025-10-25T13:09:39-04:00,91c9887e,Other,
AR-TESTINFRA,test_reliability,backend/tests/test_reliability.py,60baf086,2025-10-18T12:39:46-04:00,60baf086,2025-10-18T12:39:46-04:00,60baf086,Other,
AR-TESTINFRA,test_reliability_parity_smoke,backend/tests/test_reliability_parity_smoke.py,77fd0f58,2025-10-29T15:46:46-04:00,77fd0f58,2025-10-29T15:46:46-04:00,77fd0f58,Other,
NFR-HEALTH,test_smoke_and_util,backend/tests/test_smoke_and_util.py,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
FR-2,test_sources_api,backend/tests/test_sources_api.py,d7132f4d,2025-09-25T17:14:47-04:00,b5cb13ef,2025-10-07T15:37:34-04:00,b5cb13ef,Other,
FR-2,test_sources_smoke,backend/tests/test_sources_smoke.py,5916be48,2025-10-23T15:45:18-04:00,5916be48,2025-10-23T15:45:18-04:00,5916be48,Other,
FR-1,test_upload,backend/tests/test_upload.py,4326aba4,2025-09-10T18:24:37-04:00,5916be48,2025-10-23T15:45:18-04:00,5916be48,Other,
AR-TESTINFRA,test_anomaly_overlay_ua,backend/tests/uat/test_anomaly_overlay_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-5,test_forecast_daily_contract_ua,backend/tests/uat/test_forecast_daily_contract_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-5,test_forecast_daily_ua,backend/tests/uat/test_forecast_daily_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-2,test_ingest_forecast_to_results_ua,backend/tests/uat/test_ingest_forecast_to_results_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-2,test_ingest_json_ua,backend/tests/uat/test_ingest_json_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-2,test_ingest_to_metrics_ua,backend/tests/uat/test_ingest_to_metrics_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-3,test_metrics_daily_aggregations_ua,backend/tests/uat/test_metrics_daily_aggregations_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-3,test_metrics_daily_by_source_id_ua,backend/tests/uat/test_metrics_daily_by_source_id_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-3,test_metrics_names_and_export_ua,backend/tests/uat/test_metrics_names_and_export_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-2,test_sources_list_ua,backend/tests/uat/test_sources_list_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-1,test_upload_emtpy_csv_ua,backend/tests/uat/test_upload_emtpy_csv_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
FR-1,test_upload_router_ua,backend/tests/uat/test_upload_router_ua.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,UAT,
AR-DB,test_db_import,backend/tests/unit/test_db_import.py,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,2025-10-08T21:21:55-04:00,f53ee0ba,Unit,
AR-TESTINFRA,anomaly_overlay.cy,frontend/cypress/e2e/anomaly_overlay.cy.ts,99749046,2025-10-05T17:07:33-04:00,b8668535,2025-10-12T20:37:18-04:00,b8668535,Cypress,
AR-TESTINFRA,anomaly_overlay.enhanced.cy,frontend/cypress/e2e/anomaly_overlay.enhanced.cy.ts,a6555f3d,2025-10-11T14:24:36-04:00,76cf164d,2025-10-25T02:05:21-04:00,76cf164d,Cypress,
FR-UI-VIS,dashboard.visual.cy,frontend/cypress/e2e/dashboard.visual.cy.ts,2aec68cd,2025-10-15T12:32:59-04:00,e6fe2fcb,2025-10-18T23:31:40-04:00,e6fe2fcb,Cypress,
FR-5,forecast_overlay.cy,frontend/cypress/e2e/forecast_overlay.cy.ts,b8668535,2025-10-12T20:37:18-04:00,e6fe2fcb,2025-10-18T23:31:40-04:00,e6fe2fcb,Cypress,
FR-7,perf.demo.cy,frontend/cypress/e2e/perf.demo.cy.ts,7bf46074,2025-10-18T18:42:49-04:00,e6fe2fcb,2025-10-18T23:31:40-04:00,e6fe2fcb,Cypress,
FR-11,reliability_drawer.cy,frontend/cypress/e2e/reliability_drawer.cy.ts,c3f45d59,2025-10-30T17:19:40-04:00,c3f45d59,2025-10-30T17:19:40-04:00,c3f45d59,Cypress,
FR-7,ui_filters.cy,frontend/cypress/e2e/ui_filters.cy.ts,7bf46074,2025-10-18T18:42:49-04:00,e6fe2fcb,2025-10-18T23:31:40-04:00,e6fe2fcb,Cypress,
FR-6A,ui_foundation.cy,frontend/cypress/e2e/ui_foundation.cy.ts,b8668535,2025-10-12T20:37:18-04:00,b8668535,2025-10-12T20:37:18-04:00,b8668535,Cypress,
FR-6C,ui_reset_functionality.cy,frontend/cypress/e2e/ui_reset_functionality.cy.ts,e6fe2fcb,2025-10-18T23:31:40-04:00,e6fe2fcb,2025-10-18T23:31:40-04:00,e6fe2fcb,Cypress,
FR-11,ReliabilityBadge,frontend/src/components/ReliabilityBadge.tsx,3ee38455,2025-10-30T11:40:26-04:00,1592bc50,2025-10-30T15:55:17-04:00,1592bc50,Other,
